name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
3 corações Café,,,BA,Vitória da Conquista,,Alimentos e Bebidas,,90
7 MARES SERVIÇOS MARITIMOS IMPORTAÇÃO E EXPORTAÇÃO LTDA,13.303.445/0001-92,60175-270,CE,Fortaleza,"RUA CORONEL MANUEL JESUINO, 64",O&M,C,95
7.3 SERVICOS PREDIAIS E COMERCIO EIRELI - EPP,19.243.999/0001-28,40210-750,BA,Salvador,"AVENIDA ANITA GARIBALDI, 607",Edifícios e Estruturas,,90
A C & S F SERVICOS TECNICOS INDUSTRIAIS LTDA,08.741.705/0001-71,28010-520,RJ,Campos dos Goytacazes,"RUA JOSE EVALDO CARNEIRO DA SILVA, 13/SALA 06",EPC,B,90
A G C LIMA COMERCIAL ME,24.057.519/0001-74,60711-495,CE,Fortaleza,"AV GODOFREDO MACIEL, 3399/LOJA 06",O&M,C,95
A L X COMERCIO DE EQUIPAMENTOS INDUSTRIAL LTDA,13.229.503/0001-85,28890-000,RJ,Rio das Ostras,"RUA C, S/N/QUADRA F LT 11",Revenda,C,40
A. GUTIERREZ FERRAMENTAS LTDA,11.037.342/0001-00,02120-000,SP,Sâo Paulo,"RUA CURUCA, 428",Revenda,C,42
ABC-LAB PRODUTOS P/ LABORATORIOS LTDA,64.760.614/0001-54,09620-040,SP,São Bernardo do Campo,"RUA COMENDADOR PINOTI GAMBA, 100",Revenda,C,42
ABENGOA BIOENERGIA AGROINDUSTRIA LTDA,06.252.818/0034-46,13630-970,SP,Pirassununga,"FAZENDA SAO LUIZ, S/N/SETOR A",Energia (Outros),A,51
ABENGOA BIOENERGIA BRASIL S.A.,05.914.367/0001-34,13630-970,SP,Pirassununga,"FAZ SAO LUIZ, S/N/SUB-SETOR A-1",Energia (Outros),A,51
ABRAFFIX COMERCIAL LTDA - EPP,63.916.951/0001-25,18076-005,SP,Sorocaba,"AV ITAVUVU, 1765",Revenda,C,69
ABS INDUSTRIAS DE BOMBAS CENTRIFUGAS LTDA,77.153.260/0009-89,29162-137,ES,Serra,"ROD BR 101 NORTE, 255/KM 283",O&M,B,49
AÇO VERDE BRASIL,,,MA,Açailândia,,Siderurgia,A,54
AÇOFIX COMERCIO DE FERRAGENS E FERRAMENTAS EIRELI - ME,17.786.841/0001-79,78158-002,MT,Várzea Grande,"RUA MARANHÃO, 1",Revenda,,75
ACRINOR - Camaçari ll,13.546.353/0005-67,42810-010,BA,Camaçari,"RUA HIDROGENIO, 1879",Petroquímica,B,70
ACRINOR - Camaçari l,13.546.353/0001-33,42810-010,BA,Camaçari,"RUA HIDROGENIO, 824",Petroquímica,B,70
ACRINOR - Camaçari l,13.546.353/0001-33,42810-010,BA,Camaçari,"RUA HIDROGENIO, 824",Petroquímica,B,70
ACTECH - AUTOMAÇÃO HIDRAULICA E PNEUMATICA LTDA - ME,13.568.976/0001-07,08735-400,SP,Mogi das Cruzes,"AVENIDA HENRIQUE PERES, 68/SL 12",Revenda,C,42
AD TECH INDL LTDA,02.976.621/0002-11,13184-902,SP,Hortolândia,"RUA SAO JOAO, S/N/PAVILHÃO C",O&M,B,104
AERES PÁS EOLICAS,,,CE,,,Energia (Éolica),,95
AESSEAL BRASIL LTDA,03.852.452/0001-90,05802-140,SP,Sâo Paulo,"AVENIDA GUIDO CALOI, 1985/MODULO 3",O&M,C,42
AET BRASIL SERVICOS STS LTDA,17.328.869/0001-62,29101-295,ES,Vila Velha,"RUA PROFESSOR TELMO DE SOUZA TORRES, 40/SALA 902",EPC,B,49
AGENCIA MARITIMA E TRANSPORTES LUMAR LTDA - EPP,05.435.165/0001-00,40010-020,BA,Salvador,"AVENIDA ESTADOS UNIDOS, 82/EDF. GUARABIRA",Naval,,70
